N,time,time,time,time,time
1,7.2044942379,7.2448945045,7.2156703472,7.1802208424,7.2575385571
2,7.1793694496,7.2244675159,7.2640764713,7.2225382328,7.2836189270
3,7.2515473366,7.2124965191,7.2553803921,7.2305665016,7.2531211376
4,7.2459092140,7.3444836140,7.2307186127,7.2805571556,7.2684831619
5,7.1919448376,7.2945635319,7.6900510788,7.2645804882,7.2864823341
6,7.3168838024,7.3266301155,7.2914209366,7.4640603065,7.4915118217
7,7.4150788784,7.3215031624,7.3151783943,7.2774891853,7.4499652386
8,7.3146135807,7.2917182446,7.2497048378,7.7652518749,7.2767632008
9,7.5901944637,7.3107347488,7.2889356613,7.3167216778,7.2523698807
10,7.3365848064,7.3750226498,7.2789273262,7.2613346577,7.3544011116
11,7.3382534981,7.2702143192,7.3254585266,7.2104873657,7.3488037586
12,7.2727572918,7.3626370430,7.3864622116,7.3173241615,7.2899651527
