N,time,time,time,time,time
1,62.5009379387,64.1683993340,63.8348772526,62.9541046619,63.1956408024
2,33.2539262772,33.8196582794,31.9876503944,32.8389482498,32.6502256393
3,20.9740829468,20.9841003418,21.1832830906,21.3767383099,21.0399265289
4,18.0251617432,18.3058056831,18.2717647552,18.0367751122,18.2919516563
5,29.0922422409,28.8367085457,29.3341734409,32.0676124096,41.0151205063
6,19.6670329571,28.9836683273,29.5459597111,22.7498714924,15.5302171707
7,10.4366176128,10.5455517769,10.4225170612,13.9643855095,19.1776256561
8,15.3943190575,14.7969415188,17.8666746616,18.2754466534,9.1864919662
9,8.6499953270,8.1624917984,8.0981311798,8.2389831543,8.1129193306
10,7.4090704918,7.2678761482,7.3846855164,7.3444356918,7.2933888435
11,6.6685171127,6.6690254211,6.6967952251,6.6358313560,6.6322538853
12,6.0552866459,6.0714886189,6.0061597824,6.1106162071,6.0688681602
