N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,0.6599450111,0.6654801369,0.6657409668,0.6520750523,0.6469838619,0.6502659321,0.6477961540,0.6573061943,0.6466929913,0.6518580914,0.6469328403,0.6699090004,0.6573150158,0.6468100548,0.6453230381,0.6480410099,0.6545619965,0.6474151611,0.6458427906,0.6453719139,0.6713428497,0.6607170105,0.6470420361,0.6481359005,0.6487720013,0.6450209618,0.6558680534,0.6495809555,0.6622021198,0.6596999168
2,0.6894378662,0.6639010906,0.6561589241,0.6530590057,0.6598830223,0.6691780090,0.6736450195,0.7012310028,0.6654341221,0.6542029381,0.6594281197,0.6547710896,0.6491839886,0.6527960300,0.6575989723,0.6531250477,0.6624300480,0.6520309448,0.6548621655,0.6626479626,0.6611599922,0.6655588150,0.6722447872,0.6707890034,0.6525928974,0.6596949100,0.6624369621,0.6558070183,0.6486868858,0.6559998989
3,0.6680369377,0.6690468788,0.6612310410,0.6585259438,0.6581830978,0.6690599918,0.6587381363,0.6570260525,0.6673319340,0.6613121033,0.6849100590,0.6641430855,0.6743719578,0.6746709347,0.6792120934,0.6622641087,0.6713569164,0.6665809155,0.6748681068,0.6652350426,0.6614561081,0.6652841568,0.6645371914,0.6736261845,0.6715729237,0.6901540756,0.7048001289,0.6585650444,0.6892971992,0.6709589958
4,0.6699130535,0.6832180023,0.6764349937,0.6769731045,0.6690320969,0.6754381657,0.6648750305,0.6992061138,0.6857931614,0.6748030186,0.6650960445,0.6759219170,0.6676340103,0.6820411682,0.6895048618,0.6888618469,0.6731781960,0.6689291000,0.6703860760,0.6770370007,0.7165730000,0.6815571785,0.7021391392,0.6706721783,0.6736161709,0.6642200947,0.6817979813,0.6904420853,0.6859939098,0.6883440018
5,0.7000699043,0.6883418560,0.6741719246,0.6796069145,0.6996779442,0.6967279911,0.6976737976,0.6916840076,0.7054579258,0.7003090382,0.7101957798,0.6925370693,0.6856229305,0.7125239372,0.7012979984,0.6982798576,0.6976749897,0.7043249607,0.6902079582,0.6900389194,0.6850669384,0.7028298378,0.6923909187,0.7053239346,0.6867320538,0.6817209721,0.7139608860,0.6863238811,0.6998300552,0.6929931641
6,0.6947729588,0.7013261318,0.6883969307,0.7145550251,0.6898231506,0.7156610489,0.6991338730,0.7019360065,0.6975090504,0.7014579773,0.6951909065,0.7043759823,0.6878190041,0.7054059505,0.7190020084,0.7003870010,0.6955358982,0.7062578201,0.6932129860,0.6827230453,0.7041859627,0.7100751400,0.7235810757,0.6830711365,0.6931700706,0.7078042030,0.7153439522,0.7129271030,0.7131350040,0.7030420303
7,0.7054538727,0.7027490139,0.7006049156,0.7120299339,0.6927061081,0.6977639198,0.6980919838,0.6874139309,0.6885979176,0.6989698410,0.7040319443,0.7164587975,0.7062120438,0.7046999931,0.7092900276,0.7099151611,0.7010948658,0.6955161095,0.6973929405,0.7144360542,0.7017359734,0.7054238319,0.7084479332,0.7064440250,0.7006771564,0.6890830994,0.7023539543,0.6883058548,0.7014679909,0.7297689915
8,0.6971778870,0.6908071041,0.7124860287,0.7123730183,0.6934270859,0.7019159794,0.7105460167,0.7100801468,0.7039868832,0.6943140030,0.6906621456,0.6926310062,0.7197289467,0.7029922009,0.7076590061,0.7041471004,0.7036578655,0.7019059658,0.6973040104,0.7416429520,0.6960241795,0.6909239292,0.7239239216,0.6971690655,0.6960129738,0.7032089233,0.7033851147,0.6938841343,0.6946170330,0.7021770477
9,0.7196991444,0.6876730919,0.7097260952,0.7029299736,0.7030730247,0.6966061592,0.7108249664,0.7113988400,0.7009251118,0.6996221542,0.7013368607,0.7040271759,0.7094168663,0.7170958519,0.7008562088,0.6917557716,0.7074189186,0.7002749443,0.7393620014,0.6967589855,0.7026309967,0.6988480091,0.7212939262,0.7023711205,0.7050428391,0.7079300880,0.7015190125,0.6935000420,0.7026031017,0.6863980293
10,0.7205369473,0.6968908310,0.7076120377,0.6937739849,0.6966819763,0.6993179321,0.6992459297,0.7142269611,0.7009689808,0.6948170662,0.6962039471,0.7083430290,0.7167539597,0.7132961750,0.7006127834,0.6960828304,0.7112710476,0.7132549286,0.7105679512,0.7001738548,0.7049529552,0.7144038677,0.7128379345,0.7005519867,0.7258658409,0.7193760872,0.7181990147,0.7022941113,0.7138829231,0.7049980164
11,0.7316820621,0.7156100273,0.7429251671,0.7092661858,0.7167119980,0.7232279778,0.7150251865,0.7231779099,0.7110230923,0.7016069889,0.7269837856,0.7057228088,0.7237250805,0.7329869270,0.7159221172,0.7196109295,0.7246129513,0.7185339928,0.7020750046,0.6931371689,0.7075529099,0.7090790272,0.7042930126,0.7060909271,0.7250499725,0.7219369411,0.7859008312,0.7306909561,0.7164990902,0.7206060886
12,0.7154049873,0.7138547897,0.7105669975,0.7098059654,0.7112829685,0.7377998829,0.7114329338,0.7210969925,0.7170209885,0.7382090092,0.7208600044,0.6992628574,0.7294769287,0.7237091064,0.7191319466,0.7453830242,0.7343680859,0.7340729237,0.7560479641,0.7137939930,0.8099329472,0.7106111050,0.7108368874,0.7120501995,0.7078759670,0.7194380760,0.7092509270,0.7113790512,0.7084579468,0.7275209427
