N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,6.4713029861,6.4964799881,6.5017549992,6.4918708801,6.7221560478,6.7081489563,6.4975190163,6.4540028572,6.4668569565,6.4664328098,6.5712490082,6.5275089741,6.4972519875,6.6652889252,6.6129710674,6.4915640354,6.5825269222,6.6117088795,6.4782240391,6.4561550617,6.5695199966,6.6501359940,6.5981671810,6.4581570625,7.0211150646,6.4898910522,6.5772039890,6.5520329475,6.6072289944,6.5139329433
2,3.3468010426,3.2661180496,3.3454170227,3.2777321339,3.2954771519,3.2721829414,3.3886120319,3.3297889233,3.3127579689,3.2685468197,3.2355530262,3.4579749107,3.2402670383,3.3594748974,3.2452418804,3.3198199272,3.2764708996,3.3408861160,3.3106870651,3.5673320293,3.3307797909,3.4665610790,3.2616498470,3.2826731205,3.4531300068,3.3271260262,3.2361698151,3.3236799240,3.4281389713,3.4603171349
3,2.2374148369,2.2398958206,2.2114639282,2.2889149189,2.2047250271,2.2428619862,2.2196998596,2.2271499634,2.2269058228,2.1780350208,2.1807761192,2.2524280548,2.2045490742,2.2268548012,2.2380518913,2.1914050579,2.2526710033,2.2453458309,2.1949000359,2.2245910168,2.2186491489,2.2162051201,2.1960799694,2.3049588203,2.2225070000,2.2180080414,2.1960990429,2.1832349300,2.3691439629,2.2961637974
4,1.7281231880,1.6793458462,1.6468920708,1.6764211655,1.7109529972,1.6505389214,1.6971709728,1.6555609703,1.6581270695,1.6969170570,1.6803429127,1.6746702194,1.6550121307,1.6866178513,1.6580450535,1.7623670101,1.6706249714,1.6666250229,1.6822600365,1.6629099846,1.7658691406,1.7189919949,1.6488130093,1.6798570156,1.6721031666,1.6579499245,1.6724569798,1.7156629562,1.6843571663,1.6816759109
5,1.3868451118,1.3794701099,1.3694319725,1.3745000362,1.3785018921,1.4311211109,1.3866758347,1.4152529240,1.3839039803,1.3684887886,1.3946940899,1.3687930107,1.3870630264,1.4175679684,1.3541290760,1.3781170845,1.3645310402,1.3865189552,1.3498649597,1.3969140053,1.3841149807,1.3744220734,1.3777520657,1.3716511726,1.3909690380,1.3939800262,1.3654429913,1.3857829571,1.4094669819,1.3919010162
6,1.1586191654,1.1394338608,1.1447370052,1.1420531273,1.1699559689,1.1601858139,1.1521000862,1.1722738743,1.1589300632,1.1755020618,1.1594710350,1.1901371479,1.1857628822,1.1647980213,1.1843998432,1.1430981159,1.1781342030,1.1701569557,1.1726458073,1.1421039104,1.1555438042,1.1532571316,1.1651930809,1.1631779671,1.1814970970,1.1922850609,1.1473319530,1.1617019176,1.1649031639,1.1402850151
7,1.0013809204,1.0032219887,1.0152370930,0.9814198017,1.0495970249,1.0026209354,0.9958271980,1.0078840256,1.0133240223,1.0029251575,1.0474851131,1.0079140663,1.0003249645,0.9767279625,1.0196170807,1.0164790154,1.0253269672,1.0146870613,1.0206711292,1.0012960434,1.0085668564,1.0186820030,1.0109970570,0.9934399128,0.9993951321,1.0348339081,0.9889879227,1.0332939625,1.0065839291,1.0009000301
8,0.8831498623,0.8560209274,0.9044029713,0.8969659805,0.8876221180,0.8644778728,0.8712930679,0.8868529797,0.8705661297,0.8877739906,0.8994388580,0.9071350098,0.8808929920,0.8586270809,0.8919820786,0.8740861416,0.8893880844,0.8785641193,0.8758080006,0.8864979744,0.9056470394,0.8702208996,0.9242589474,0.8591310978,0.8824141026,0.8732159138,0.8774499893,0.8785440922,0.8816571236,0.8684918880
9,0.7982671261,0.7649419308,0.7773330212,0.7736749649,0.7791810036,0.7899708748,0.7737901211,0.7865059376,0.7810459137,0.7828271389,0.7870759964,0.7907619476,0.7782788277,0.7876439095,0.7726411819,0.7763168812,0.7706069946,0.8169050217,0.7710580826,0.7804329395,0.7852711678,0.7825849056,0.7764899731,0.7751848698,0.7930438519,0.8020148277,0.7698850632,0.7736210823,0.7822551727,0.7673521042
10,0.7035169601,0.6930470467,0.7150959969,0.7056109905,0.7003099918,0.7063210011,0.6898770332,0.6958451271,0.7023148537,0.7035338879,0.6967849731,0.7133729458,0.7189600468,0.6945838928,0.6968650818,0.7018520832,0.6939609051,0.6923401356,0.7131650448,0.7176039219,0.7156109810,0.6989810467,0.7050781250,0.6922919750,0.7182850838,0.7085900307,0.7123920918,0.7158970833,0.7061741352,0.7037050724
11,0.6352248192,0.6433391571,0.6291379929,0.6447958946,0.6534190178,0.6582558155,0.6530051231,0.6481831074,0.6419680119,0.6519680023,0.6457731724,0.6370520592,0.6364941597,0.6530430317,0.6509959698,0.6513638496,0.6617708206,0.6471610069,0.6485350132,0.6361470222,0.6457598209,0.6616950035,0.6550178528,0.6599731445,0.6541121006,0.6425058842,0.6553509235,0.6359119415,0.6487400532,0.6358280182
12,0.5929598808,0.5932178497,0.5973999500,0.6040670872,0.5890209675,0.6070561409,0.5939309597,0.5923039913,0.5929429531,0.5983290672,0.5884780884,0.6087059975,0.6054461002,0.5936260223,0.5969309807,0.6008901596,0.5878820419,0.5912020206,0.5940070152,0.5851669312,0.6000280380,0.6082730293,0.5871820450,0.5963830948,0.6059241295,0.6235339642,0.6037759781,0.5995368958,0.5993230343,0.5973460674
